Submission ID;À quelle fréquence achetez-vous de nouveaux vêtements ?;Combien de temps passez-vous en moyenne chaque matin à choisir votre tenue ?;Quelle importance accordez-vous à l'impact environnemental de vos choix vestimentaires ?;Avez-vous déjà utilisé une application de gestion de garde-robe virtuelle ?;Sur une échelle de 1 à 5, à quel point êtes-vous intéressé(e) par une application qui suggère des tenues basées sur votre garde-robe existante ?;Utilisez-vous des plateformes de revente de vêtements comme Vinted ?;Parmi les fonctionnalités suivantes, lesquelles vous intéresseraient le plus dans une application de gestion de garde-robe ? ;Quel est votre plus grand défi dans la gestion quotidienne de votre garde-robe ?;Parmi ces fonctionnalités innovantes, laquelle vous intéresserait le plus ?;Si une application pouvait vous aider à réduire vos achats de vêtements, quelle fonctionnalité serait la plus utile ?;Dans quelle mesure seriez-vous prêt(e) à partager des informations sur vos habitudes vestimentaires pour obtenir des recommandations personnalisées plus précises ?;Quelle fonctionnalité unique aimeriez-vous voir dans une application de gestion de garde-robe qui n'existe pas encore sur le marché ?;Seriez-vous prêt(e) à payer pour une application offrant ces fonctionnalités ?;Quelle est votre tranche d'âge ?;Quel est votre genre ?;Parmi les fonctionnalités suivantes, lesquelles vous intéresseraient le plus dans une application de gestion de garde-robe ? (Sélectionnez jusqu'à 3 réponses)
1;Rarement;5-10 minutes;Peu important;Non;5;Oui, occasionnellement;Suggestions de tenues personnalisées, Intégration avec des plateformes de revente, Numérisation intelligente des vêtements;Manque de temps pour choisir une tenue;Création de capsules wardrobe saisonnières;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Une alerte pour entretenir mes vetements au bon moment;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Conseils de style personnalisés, Intégration avec des plateformes de revente
2;Chaque mois;5-10 minutes;Peu important;Non;5;Oui, occasionnellement;Conseils de style personnalisés, Suggestions de tenues personnalisées, Numérisation intelligente des vêtements;Achats impulsifs et non coordonnés;Conseils de style personnalisés par IA;Je pense à : évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Non, je ne paierais pas pour ce type d'application;18-24 ans;Homme;Conseils de style personnalisés, Numérisation intelligente des vêtements
3;Chaque mois;5-10 minutes;Pas important du tout;Oui;4;Oui, régulièrement;Suggestions de tenues personnalisées, Numérisation intelligente des vêtements, Analyse de l'impact environnemental des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Suggestions de tenues basées sur votre agenda et la météo;Pourquoi pas calcul du coût par utilisation de chaque vêtement ?;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Des statistiques sur mon style comme spotify wrapped;Oui, un achat unique;18-24 ans;Non-binaire;Numérisation intelligente des vêtements
4;Chaque semaine;Moins de 5 minutes;Peu important;Oui;2;Oui, occasionnellement;Analyse de l'impact environnemental des vêtements, Planification de capsules wardrobe saisonnières, Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Création de capsules wardrobe saisonnières;Évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Un comparateur dimpact environnemental entre deux pieces similaires;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Non-binaire;Suggestions de tenues personnalisées, Analyse de l’impact environnemental des vêtements
5;Chaque mois;5-10 minutes;Assez important;Non;3;Oui, régulièrement;Suggestions de tenues personnalisées, Intégration avec des plateformes de revente, Analyse de l'impact environnemental des vêtements;Garde-robe trop pleine mais impression de n'avoir rien à porter;Suggestions de tenues basées sur votre agenda et la météo;Fonction utile : calcul du coût par utilisation de chaque vêtement;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;Un simulateur de look en fonction de ma morphologie;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Homme;Planification de capsules wardrobe saisonnières
6;Chaque mois;5-10 minutes;Assez important;Oui;4;Oui, régulièrement;Suggestions de tenues personnalisées, Planification de capsules wardrobe saisonnières, Conseils de style personnalisés;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Une application qui permettrait le/la alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Oui, un achat unique;18-24 ans;Homme;Suggestions de tenues personnalisées
7;Chaque saison;Moins de 5 minutes;Peu important;Non;1;Oui, occasionnellement;Conseils de style personnalisés;Garde-robe trop pleine mais impression de n'avoir rien à porter;Conseils de style personnalisés par IA;Peut-être une option comme : évaluation de la durabilité et de la qualité des vêtements avant l’achat;Je ne souhaite pas du tout partager mes données personnelles;;Non, je ne paierais pas pour ce type d'application;18-24 ans;Femme;Analyse de l’impact environnemental des vêtements
8;Chaque mois;5-10 minutes;Peu important;Non;5;Oui, régulièrement;Numérisation intelligente des vêtements, Suggestions de tenues personnalisées, Planification de capsules wardrobe saisonnières;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Alerte lorsqu’un article n’a pas été porté depuis longtemps;Je serais totalement ouvert(e) à partager mes données de style et mes préférences;Une integration avec mon calendrier google pour mes evenements;Non, je ne paierais pas pour ce type d'application;18-24 ans;Femme;Intégration avec des plateformes de revente, Planification de capsules wardrobe saisonnières
9;Chaque saison;Moins de 5 minutes;Peu important;Non;5;Non, mais je serais intéressé(e);Numérisation intelligente des vêtements, Analyse de l'impact environnemental des vêtements, Intégration avec des plateformes de revente;Difficulté à combiner les vêtements;Analyse de l'impact environnemental de chaque vêtement;Quelque chose qui gère le/la suggestions de nouvelles combinaisons avec les vêtements existants;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Non, je préfère une version gratuite avec des fonctionnalités limitées;25-34 ans;Homme;Intégration avec des plateformes de revente
10;Une fois par an;5-10 minutes;Peu important;Non;4;Oui, régulièrement;Suggestions de tenues personnalisées, Intégration avec des plateformes de revente;Difficulté à combiner les vêtements;Suggestions de tenues basées sur votre agenda et la météo;Une application qui permettrait le/la suggestions de nouvelles combinaisons avec les vêtements existants;Je serais prêt(e) à partager certaines informations, avec des garanties de confidentialité;;Non, je préfère une version gratuite avec des fonctionnalités limitées;18-24 ans;Femme;Planification de capsules wardrobe saisonnières, Numérisation intelligente des vêtements, Intégration avec des plateformes de revente
